SWIS Number ,Activity,OperationalStatus,Category,Activity Classification,County
56-AA-0178,Large Volume Transfer/Processing Facility,Planned,Transfer/Processing,Solid Waste Facility,Ventura
33-AA-0371,Green Material Composting Operation,Planned,Composting,Solid Waste Operation,Riverside
48-CR-0024,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Solano
41-AA-0202,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,San Mateo
41-CR-0029,Asbestos Containing Waste Disposal Site,Closed,Disposal,Solid Waste Facility,San Mateo
30-AB-0472,Solid Waste Landfill,Active,Disposal,Solid Waste Facility,Orange
30-AB-0474,Green Material Composting Facility,Active,Composting,Solid Waste Facility,Orange
48-AA-0096,Agricultural Material Composting Operation,Planned,Composting,Solid Waste Operation,Solano
10-AA-0235,Small Volume CDI Debris Processing Operation,Planned,Transfer/Processing,Solid Waste Operation,Fresno
54-AA-0066,Agricultural Material Composting Operation,Active,Composting,Solid Waste Operation,Tulare
19-AR-1279,Medium Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,Los Angeles
19-AR-1280,Chipping and Grinding Facility/Operation,Active,Composting,Solid Waste Facility,Los Angeles
33-AA-0379,Inert Debris Engineered Fill Operation,Active,Disposal,Solid Waste Operation,Riverside
01-AA-0009,Solid Waste Landfill,Active,Disposal,Solid Waste Facility,Alameda
01-AA-0009,Asbestos Containing Waste Disposal Site,Active,Disposal,Solid Waste Facility,Alameda
