SWIS Number ,Activity,OperationalStatus,Category,Activity Classification,County
33-AA-0015,Solid Waste Landfill,Active,Disposal,Solid Waste Facility,Riverside
33-AA-0237,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Riverside
33-AA-0248,Large Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,Riverside
33-AA-0290,Medium Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,Riverside
33-CR-0007,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Riverside
33-CR-0014,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Riverside
33-CR-0032,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Riverside
34-AA-0002,Large Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,Sacramento
34-AA-0023,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Sacramento
34-AA-0182,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Sacramento
34-CR-5005,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Sacramento
35-AA-0001,Solid Waste Landfill,Active,Disposal,Solid Waste Facility,San Benito
36-AA-0001,Solid Waste Landfill,Closed,Disposal,Solid Waste Facility,San Bernardino
36-AA-0009,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,San Bernardino
36-AA-0044,Solid Waste Landfill,Closed,Disposal,Solid Waste Facility,San Bernardino
36-AA-0051,Solid Waste Landfill,Inactive,Disposal,Solid Waste Facility,San Bernardino
36-AA-0062,Solid Waste Landfill,Closed,Disposal,Solid Waste Facility,San Bernardino
36-AA-0302,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,San Bernardino
36-AA-0318,Solid Waste Landfill,Closed,Disposal,Solid Waste Facility,San Bernardino
36-AA-0341,Large Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,San Bernardino
36-AA-0341,Composting Facility (Mixed),Active,Composting,Solid Waste Facility,San Bernardino
36-AA-0341,Large Volume CDI Debris Processing Facility,Active,Transfer/Processing,Solid Waste Facility,San Bernardino
36-AA-0377,Medium Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,San Bernardino
36-AA-0395,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,San Bernardino
36-CR-0006,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,San Bernardino
36-CR-0025,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,San Bernardino
36-CR-0058,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,San Bernardino
37-AA-0005,Solid Waste Landfill,Closed,Disposal,Solid Waste Facility,San Diego
37-AA-0021,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,San Diego
37-AA-0903,Solid Waste Landfill,Active,Disposal,Solid Waste Facility,San Diego
37-AA-0925,Large Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,San Diego
37-AH-0001,Large Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,San Diego
37-CR-0001,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,San Diego
37-CR-0012,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,San Diego
37-CR-0019,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,San Diego
37-CR-0038,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,San Diego
37-CR-0045,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,San Diego
37-CR-0052,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,San Diego
37-CR-0063,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,San Diego
37-CR-0097,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,San Diego
38-CR-0018,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,San Francisco
39-AA-0008,Large Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,San Joaquin
39-AA-0021,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,San Joaquin
39-CR-0022,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,San Joaquin
39-CR-0033,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,San Joaquin
40-AA-0002,Solid Waste Landfill,Active,Disposal,Solid Waste Facility,San Luis Obispo
40-AA-0014,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,San Luis Obispo
40-CR-0031,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,San Luis Obispo
41-AA-0166,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,San Mateo
41-AA-0176,Sludge Composting Facility,Closed,Composting,Solid Waste Facility,San Mateo
42-CR-0018,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Santa Barbara
42-CR-0025,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Santa Barbara
42-CR-0037,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Santa Barbara
42-CR-0051,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Santa Barbara
42-CR-0056,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Santa Barbara
42-CR-0063,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Santa Barbara
43-AA-0009,Large Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,Santa Clara
43-AN-0009,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Santa Clara
43-AN-0017,Green Material Composting Facility,Active,Composting,Solid Waste Facility,Santa Clara
43-AO-0002,Large Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,Santa Clara
43-CR-0008,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Santa Clara
44-AA-0003,Solid Waste Landfill,Closed,Disposal,Solid Waste Facility,Santa Cruz
44-CR-0006,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Santa Cruz
44-CR-0013,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Santa Cruz
45-AA-0006,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Shasta
45-CR-0002,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Shasta
45-CR-0013,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Shasta
45-CR-0020,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Shasta
46-AA-0005,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Sierra
46-CR-0010,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Sierra
47-AA-0001,Solid Waste Landfill,Closed,Disposal,Solid Waste Facility,Siskiyou
47-AA-0019,Solid Waste Landfill,Closed,Disposal,Solid Waste Facility,Siskiyou
47-AA-0031,Solid Waste Landfill,Closed,Disposal,Solid Waste Facility,Siskiyou
47-CR-0005,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Siskiyou
47-CR-0012,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Siskiyou
48-AA-0008,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Solano
48-AA-0078,Nonhazardous Ash Disposal/Monofill Facility,Active,Disposal,Solid Waste Facility,Solano
48-CR-0002,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Solano
49-AA-0139,Large Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,Sonoma
49-AA-0246,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Sonoma
49-CR-0034,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Sonoma
50-AA-0005,Large Volume Transfer/Processing Facility,Closed,Transfer/Processing,Solid Waste Facility,Stanislaus
50-AA-0016,Composting Facility (Mixed),Active,Composting,Solid Waste Facility,Stanislaus
50-CR-0008,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Stanislaus
51-CR-0001,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Sutter
52-AA-0003,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Tehama
52-AA-0003,Small Volume Transfer Station,Closed,Transfer/Processing,Solid Waste Facility,Tehama
52-CR-0002,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Tehama
53-AA-0004,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Trinity
