county,1st Quarter,2nd Quarter,3rd Quarter,4th Quarter,Total,Year
Monterey,207756.0,195645.0,233006.0,224051.0,860458,2018
Napa,95068.0,21850.0,12337.0,13349.0,142604,2018
Orange,1200085.0,1272670.0,1290351.0,1291123.0,5054229,2018
Placer,70796.0,74811.0,74340.0,73577.0,293524,2018
Plumas,0.0,0.0,6.0,7.0,13,2018
Riverside,1204657.0,1247788.0,1213759.0,1232821.0,4899025,2018
Sacramento,260156.0,280852.0,292332.0,,833340,2018
San Benito,69075.0,73570.0,75996.0,71069.0,289710,2018
San Bernardino,467389.0,488755.0,484957.0,467361.0,1908462,2018
San Diego,974993.0,1029377.0,822072.0,867700.0,3694142,2018
San Joaquin,325907.0,343577.0,343678.0,345257.0,1358419,2018
San Luis Obispo,75595.0,78925.0,81079.0,73148.0,308747,2018
San Mateo,281668.0,146677.0,150013.0,145116.0,723474,2018
Santa Barbara,96761.0,101983.0,102277.0,41874.0,342895,2018
Santa Clara,353246.0,261642.0,228789.0,224353.0,1068030,2018
Santa Cruz,39083.0,43064.0,40993.0,40858.0,163998,2018
Shasta,50635.0,58972.0,144747.0,409567.0,663921,2018
Sierra,0.0,,0.0,,0,2018
Siskiyou,0.0,0.0,0.0,3303.0,3303,2018
Solano,445577.0,418298.0,402796.0,385085.0,1651756,2018
Sonoma,593614.0,111123.0,89152.0,89758.0,883647,2018
Stanislaus,70652.0,74314.0,74137.0,68618.0,287721,2018
Tehama,12923.0,13458.0,13113.0,12758.0,52252,2018
Trinity,0.0,0.0,0.0,0.0,0,2018
Tulare,107096.0,115114.0,110230.0,113842.0,446282,2018
Ventura,518303.0,518869.0,435656.0,431874.0,1904702,2018
Yolo,48373.0,48143.0,47023.0,45108.0,188647,2018
Yuba,58487.0,48026.0,55297.0,64736.0,226546,2018
Alameda,345989.0,332015.0,354313.0,339325.0,1371642,2019
Butte,74550.0,325573.0,353112.0,78365.0,831600,2019
Calaveras,7955.0,6401.0,5848.0,4733.0,24937,2019
Colusa,0.0,0.0,0.0,0.0,0,2019
Contra Costa,199048.0,203878.0,203334.0,202393.0,808653,2019
El Dorado,0.0,401.0,347.0,387.0,1135,2019
Fresno,180056.0,186401.0,172538.0,181480.0,720475,2019
Glenn,6205.0,6140.0,5953.0,857.0,19155,2019
Imperial,80907.0,74500.0,76977.0,81917.0,314301,2019
Inyo,4961.0,6332.0,6539.0,5561.0,23393,2019
Kern,341562.0,377400.0,425017.0,416767.0,1560746,2019
Kings,76193.0,88724.0,86144.0,86652.0,337713,2019
Lake,12058.0,14832.0,14265.0,12257.0,53412,2019
Lassen,4847.0,5958.0,6179.0,5190.0,22174,2019
Los Angeles,1494918.0,1601082.0,1552456.0,1444754.0,6093210,2019
Madera,56370.0,56262.0,57204.0,32354.0,202190,2019
Marin,50431.0,55008.0,53829.0,58449.0,217717,2019
Mariposa,3880.0,4313.0,4167.0,3050.0,15410,2019
Mendocino,0.0,0.0,0.0,0.0,0,2019
Merced,113354.0,131259.0,142308.0,126461.0,513382,2019
Modoc,38.0,293.0,260.0,187.0,778,2019
Mono,3998.0,6549.0,8372.0,6438.0,25357,2019
Monterey,211453.0,234854.0,240634.0,226521.0,913462,2019
Napa,10203.0,11671.0,10535.0,17155.0,49564,2019
Orange,1248390.0,1318542.0,1324294.0,1254314.0,5145540,2019
Placer,67487.0,73434.0,73619.0,74774.0,289314,2019
Plumas,0.0,,0.0,0.0,0,2019
Riverside,1219714.0,1298006.0,1193986.0,1216998.0,4928704,2019
Sacramento,256988.0,289188.0,286663.0,275988.0,1108827,2019
San Benito,69282.0,75987.0,75556.0,77677.0,298502,2019
San Bernardino,484335.0,500585.0,481927.0,469141.0,1935988,2019
San Diego,808822.0,841518.0,842826.0,774869.0,3268035,2019
San Joaquin,330679.0,358733.0,342510.0,341184.0,1373106,2019
San Luis Obispo,71587.0,76934.0,78287.0,77121.0,303929,2019
San Mateo,152626.0,160253.0,152035.0,146597.0,611511,2019
Santa Barbara,92535.0,110785.0,99931.0,97978.0,401229,2019
Santa Clara,223904.0,250649.0,244516.0,256784.0,975853,2019
Santa Cruz,36229.0,42416.0,42304.0,38071.0,159020,2019
Shasta,129114.0,512118.0,283548.0,63935.0,988715,2019
Sierra,0.0,0.0,0.0,0.0,0,2019
Siskiyou,631.0,0.0,0.0,0.0,631,2019
Solano,378321.0,399977.0,420493.0,406647.0,1605438,2019
Sonoma,84385.0,84990.0,86185.0,81957.0,337517,2019
Stanislaus,65790.0,74093.0,68990.0,70512.0,279385,2019
Tehama,13464.0,15030.0,14615.0,14865.0,57974,2019
Trinity,0.0,0.0,0.0,0.0,0,2019
Tulare,110964.0,120160.0,117895.0,116847.0,465866,2019
Ventura,550890.0,550991.0,387612.0,392787.0,1882280,2019
Yolo,46287.0,48795.0,51209.0,47589.0,193880,2019
Yuba,178865.0,838769.0,739125.0,107310.0,1864069,2019
,,,,120909.0,120909,2020
Alameda,296675.0,271586.0,307672.0,293416.0,1169349,2020
Butte,51657.0,39408.0,44225.0,37357.0,172647,2020
Calaveras,6695.0,9181.0,0.0,6464.0,22340,2020
Colusa,68.0,84.0,130.0,,282,2020
Contra Costa,193183.0,185661.0,203079.0,197366.0,779289,2020
El Dorado,0.0,0.0,318.0,300.0,618,2020
Fresno,182617.0,176649.0,189898.0,182081.0,731245,2020
Glenn,0.0,0.0,0.0,0.0,0,2020
Imperial,77872.0,74727.0,50544.0,81704.0,284847,2020
Inyo,5459.0,6236.0,6619.0,4474.0,22788,2020
Kern,501238.0,431162.0,412535.0,420974.0,1765909,2020
Kings,38703.0,80086.0,87868.0,91172.0,297829,2020
Lake,13089.0,13981.0,13925.0,16176.0,57171,2020
Lassen,5055.0,6087.0,6130.0,5069.0,22341,2020
Los Angeles,1527969.0,1553805.0,1668491.0,1619698.0,6369963,2020
Madera,37635.0,55394.0,55250.0,42899.0,191178,2020
Marin,55590.0,55184.0,53597.0,58272.0,222643,2020
Mariposa,2790.0,2824.0,3238.0,2911.0,11763,2020
Mendocino,0.0,0.0,0.0,0.0,0,2020
Merced,129114.0,119089.0,132443.0,134701.0,515347,2020
Modoc,56.0,286.0,464.0,246.0,1052,2020
Mono,4198.0,5304.0,8110.0,5511.0,23123,2020
Monterey,214064.0,195736.0,231240.0,222464.0,863504,2020
Napa,14755.0,9767.0,9223.0,22430.0,56175,2020
Orange,1318426.0,1276478.0,1295181.0,1238961.0,5129046,2020
Placer,71490.0,0.0,74636.0,81555.0,227681,2020
Plumas,0.0,0.0,0.0,0.0,0,2020
Riverside,1168535.0,1201789.0,1182619.0,1210311.0,4763254,2020
Sacramento,270552.0,284115.0,35698.0,264324.0,854689,2020
San Benito,68569.0,61839.0,71182.0,68145.0,269735,2020
San Bernardino,489589.0,556158.0,476911.0,452638.0,1975296,2020
San Diego,765064.0,592195.0,605429.0,773173.0,2735861,2020
San Joaquin,339365.0,343291.0,351934.0,367533.0,1402123,2020
San Luis Obispo,68833.0,73025.0,76883.0,77254.0,295995,2020
San Mateo,135763.0,112804.0,130272.0,131220.0,510059,2020
Santa Barbara,91247.0,100357.0,110223.0,62800.0,364627,2020
Santa Clara,242249.0,219496.0,228406.0,232118.0,922269,2020
Santa Cruz,32979.0,37178.0,42980.0,38038.0,151175,2020
Shasta,66539.0,77164.0,34510.0,73404.0,251617,2020
Sierra,0.0,0.0,0.0,,0,2020
Siskiyou,0.0,0.0,0.0,0.0,0,2020
Solano,369410.0,357275.0,395676.0,410230.0,1532591,2020
Sonoma,77345.0,76225.0,81800.0,78294.0,313664,2020
Stanislaus,68397.0,76260.0,72020.0,68015.0,284692,2020
Tehama,14256.0,14968.0,14860.0,15208.0,59292,2020
Trinity,0.0,0.0,0.0,,0,2020
Tulare,116917.0,127605.0,131003.0,126283.0,501808,2020
Ventura,449193.0,430186.0,439541.0,398217.0,1717137,2020
Yolo,43678.0,44062.0,,,87740,2020
Yuba,73924.0,71032.0,88234.0,86866.0,320056,2020
