county,1st Quarter,2nd Quarter,3rd Quarter,4th Quarter,Total,Year
San Luis Obispo,73423.0,77699.0,78776.0,91109.0,321007,2016
San Mateo,138876.0,145156.0,146553.0,137400.0,567985,2016
Santa Barbara,81703.0,85103.0,86522.0,83559.0,336887,2016
Santa Clara,233469.0,246736.0,228965.0,217635.0,926805,2016
Santa Cruz,40528.0,44819.0,47687.0,43772.0,176806,2016
Shasta,47768.0,61796.0,58575.0,56227.0,224366,2016
Sierra,453.0,447.0,859.0,541.0,2300,2016
Siskiyou,0.0,0.0,0.0,0.0,0,2016
Solano,314879.0,360744.0,399146.0,383482.0,1458251,2016
Sonoma,73967.0,77764.0,77044.0,75318.0,304093,2016
Stanislaus,68632.0,66288.0,59040.0,58367.0,252327,2016
Tehama,12387.0,13550.0,12827.0,12940.0,51704,2016
Trinity,0.0,0.0,0.0,0.0,0,2016
Tulare,96600.0,99301.0,100344.0,101337.0,397582,2016
Ventura,338116.0,339638.0,328318.0,348411.0,1354483,2016
Yolo,46841.0,49837.0,52738.0,49331.0,198747,2016
Yuba,46179.0,44666.0,45137.0,46889.0,182871,2016
Alameda,288957.0,302635.0,343684.0,289457.0,1224733,2017
Butte,40973.0,54536.0,51843.0,44754.0,192106,2017
Calaveras,3941.0,5661.0,6730.0,5824.0,22156,2017
Colusa,0.0,0.0,0.0,0.0,0,2017
Contra Costa,183729.0,194855.0,190849.0,220505.0,789938,2017
El Dorado,0.0,506.0,386.0,0.0,892,2017
Fresno,161546.0,158402.0,157102.0,161078.0,638128,2017
Glenn,5275.0,5516.0,5375.0,3593.0,19759,2017
Humboldt,0.0,0.0,0.0,,0,2017
Imperial,73123.0,74361.0,76756.0,76013.0,300253,2017
Inyo,4484.0,4938.0,6854.0,5303.0,21579,2017
Kern,270904.0,280598.0,281460.0,271070.0,1104032,2017
Kings,84514.0,135314.0,69524.0,71581.0,360933,2017
Lake,13515.0,12242.0,12689.0,56216.0,94662,2017
Lassen,4465.0,5831.0,5540.0,4870.0,20706,2017
Los Angeles,1321277.0,1419692.0,1380346.0,1314091.0,5435406,2017
